"","Length","Spectrum","Type"
"1",50,4.96588861397602,"Inr-DPE"
"2",25,7.8219542166546,"Inr-DPE"
"3",16.6666666666667,1.83833265438509,"Inr-DPE"
"4",12.5,6.33576494614774,"Inr-DPE"
"5",10,7.73525784428883,"Inr-DPE"
"6",8.33333333333333,2.8372620401291,"Inr-DPE"
"7",7.14285714285714,0.0816779750944992,"Inr-DPE"
"8",6.25,1.93760992582903,"Inr-DPE"
"9",5.55555555555556,0.460093926292834,"Inr-DPE"
"10",5,1.63859875181302,"Inr-DPE"
"11",4.54545454545455,1.70164109325006,"Inr-DPE"
"12",4.16666666666667,0.17653140658022,"Inr-DPE"
"13",3.84615384615385,0.750732128581884,"Inr-DPE"
"14",3.57142857142857,0.542355307051072,"Inr-DPE"
"15",3.33333333333333,0.351862841717525,"Inr-DPE"
"16",3.125,1.51179461758007,"Inr-DPE"
"17",2.94117647058824,0.355100224489816,"Inr-DPE"
"18",2.77777777777778,0.0452047078976873,"Inr-DPE"
"19",2.63157894736842,0.0110083829086188,"Inr-DPE"
"20",2.5,0.426137639215937,"Inr-DPE"
"21",2.38095238095238,0.11593775753055,"Inr-DPE"
"22",2.27272727272727,0.201129723733715,"Inr-DPE"
"23",2.17391304347826,1.70049369447492,"Inr-DPE"
"24",2.08333333333333,0.0221240423538911,"Inr-DPE"
"25",2,0.183281067379905,"Inr-DPE"
"26",50,1.59231626043321,"TATA-box"
"27",25,0.015338405160244,"TATA-box"
"28",16.6666666666667,0.318184815843751,"TATA-box"
"29",12.5,2.69472821176476,"TATA-box"
"30",10,0.585751728464887,"TATA-box"
"31",8.33333333333333,0.915842907296965,"TATA-box"
"32",7.14285714285714,2.73175898878589,"TATA-box"
"33",6.25,0.703706437821433,"TATA-box"
"34",5.55555555555556,0.0932910306915517,"TATA-box"
"35",5,0.862067459846924,"TATA-box"
"36",4.54545454545455,0.0865427129187564,"TATA-box"
"37",4.16666666666667,0.264386665385165,"TATA-box"
"38",3.84615384615385,0.373538232523616,"TATA-box"
"39",3.57142857142857,0.113731229303229,"TATA-box"
"40",3.33333333333333,0.384224430879903,"TATA-box"
"41",3.125,0.0565551913323653,"TATA-box"
"42",2.94117647058824,0.0665282371657519,"TATA-box"
"43",2.77777777777778,0.0575422321401767,"TATA-box"
"44",2.63157894736842,0.36263065961998,"TATA-box"
"45",2.5,0.0208716416458267,"TATA-box"
"46",2.38095238095238,0.166823335189173,"TATA-box"
"47",2.27272727272727,0.0757575424920708,"TATA-box"
"48",2.17391304347826,0.0669819386670492,"TATA-box"
"49",2.08333333333333,0.0345265088138285,"TATA-box"
"50",2,0.00529306701173658,"TATA-box"
"51",50,0.093638356283837,"Inr"
"52",25,0.909799042026316,"Inr"
"53",16.6666666666667,0.463423620935727,"Inr"
"54",12.5,2.62865439728026,"Inr"
"55",10,13.90542280432,"Inr"
"56",8.33333333333333,0.62054389216619,"Inr"
"57",7.14285714285714,0.177575193638339,"Inr"
"58",6.25,0.443411450654648,"Inr"
"59",5.55555555555556,0.0833725134042732,"Inr"
"60",5,0.0330077307549948,"Inr"
"61",4.54545454545455,0.0754715749457123,"Inr"
"62",4.16666666666667,0.0107605607211475,"Inr"
"63",3.84615384615385,0.000942289274313051,"Inr"
"64",3.57142857142857,0.0374108976068787,"Inr"
"65",3.33333333333333,0.0194198966622322,"Inr"
"66",3.125,0.0025820823024002,"Inr"
"67",2.94117647058824,0.00603988751896992,"Inr"
"68",2.77777777777778,0.00330169156564438,"Inr"
"69",2.63157894736842,0.0152147450328325,"Inr"
"70",2.5,0.000794962390584932,"Inr"
"71",2.38095238095238,0.00802852286935692,"Inr"
"72",2.27272727272727,0.0444919418647672,"Inr"
"73",2.17391304347826,0.0162872022745828,"Inr"
"74",2.08333333333333,0.000677226231836506,"Inr"
"75",2,0.000857083310448313,"Inr"
